Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2012:Q1,Next9,25506046,28067723,5504437,997552,4874765,8611276,2388791,5690903,2561677,2134081,204572,223024
2012:Q1,Next40,20074866,25347503,7392366,1945795,1826247,8629867,1134096,4419132,5272637,4194955,937848,139834
2012:Q1,Bottom50,391884,5125659,2599809,1100687,113161,533030,134605,644367,4733775,2985902,1540213,207660
2012:Q2,Top1,19192230,19820862,2560276,643455,6174240,1481253,3270847,5690792,628633,400340,58134,170159
2012:Q2,Next9,25471231,28021040,5520152,1000729,4719434,8564222,2396546,5819957,2549809,2134831,209316,205662
2012:Q2,Next40,20041964,25324662,7518693,1945487,1804079,8658396,1152063,4245944,5282697,4197687,954754,130256
2012:Q2,Bottom50,379392,5066721,2564725,1099423,111122,524994,132258,634199,4687329,2916874,1568247,202208
2012:Q3,Top1,19821021,20444248,2595311,657670,6605816,1498274,3391602,5695575,623227,398048,56686,168493
2012:Q3,Next9,25949571,28501919,5596558,1003108,4977684,8693173,2473654,5757742,2552348,2113329,214246,224773
2012:Q3,Next40,20636339,25949703,7592489,1939964,1905697,8849179,1170540,4491833,5313364,4214523,973735,125106
2012:Q3,Bottom50,457950,5148842,2611637,1099992,118664,539776,131039,647734,4690892,2871773,1605770,213349
2012:Q4,Top1,20146130,20758636,2637739,673213,6654666,1507418,3474829,5810772,612506,397583,47528,167395
2012:Q4,Next9,26157289,28757454,5656454,1003392,4994779,8725524,2532027,5845278,2600166,2156104,220956,223106
2012:Q4,Next40,20952811,26279263,7665453,1945713,1935572,8957501,1184559,4590465,5326452,4206456,1001570,118426
2012:Q4,Bottom50,547060,5183743,2623291,1105168,120672,539851,129964,664796,4636683,2776928,1642851,216904
2013:Q1,Top1,21136491,21756865,2761481,699903,7545593,1516735,3562993,5670160,620375,393159,55497,171719
2013:Q1,Next9,27208220,29720902,5772491,996539,5532072,9070793,2583992,5765014,2512682,2064448,220271,227963
2013:Q1,Next40,21643376,26993433,7913271,1942536,2119570,9295741,1195628,4526687,5350057,4249038,988193,112826
2013:Q1,Bottom50,505228,5157743,2556102,1111976,134858,560652,127136,667019,4652515,2781442,1649843,221230
2013:Q2,Top1,21447731,22065599,2854509,712615,7648576,1503839,3703801,5642259,617868,391958,50344,175566
2013:Q2,Next9,27771269,30291949,5904628,997069,5581337,9270827,2719908,5818181,2520680,2065704,225776,229200
2013:Q2,Next40,21788515,27167893,8141219,1935801,2161454,9507687,1199201,4222531,5379378,4265320,1006814,107244
2013:Q2,Bottom50,549789,5181323,2585179,1110159,137693,562856,126102,659334,4631534,2726940,1677250,227344
2013:Q3,Top1,22069674,22684322,2943879,719535,8095043,1523893,3856858,5545114,614648,392246,47767,174635
2013:Q3,Next9,28497150,31044706,6024118,1008567,5838756,9587988,2891197,5694079,2547556,2077925,231338,238293
2013:Q3,Next40,22654686,28081805,8390242,1931081,2263363,9829648,1198641,4468830,5427120,4297736,1029931,99453
2013:Q3,Bottom50,632764,5273138,2639875,1109754,145465,575058,126462,676525,4640374,2688370,1721255,230749
2013:Q4,Top1,22674102,23274558,3011515,729293,8625398,1560616,4049486,5298250,600456,398733,49682,152041
2013:Q4,Next9,29128353,31764619,6125186,1005375,6146655,10023404,2921700,5542299,2636267,2062541,237692,336034
2013:Q4,Next40,23354756,28856413,8583786,1936382,2336095,10096535,1206264,4697351,5501657,4323713,1060238,117706
2013:Q4,Bottom50,626114,5305501,2630144,1108523,150901,594452,123622,697859,4679386,2652063,1742856,284467
2014:Q1,Top1,23561223,24172685,3080130,742409,9129446,1596591,4138034,5486076,611463,404943,55829,150691
2014:Q1,Next9,29819903,32456827,6235190,989972,6439157,10152141,2852145,5788222,2636923,2058106,238271,340546
2014:Q1,Next40,23516975,29033819,8747341,1946260,2405267,10140731,1210429,4583791,5516844,4334888,1062270,119686
2014:Q1,Bottom50,642462,5266472,2593381,1106368,155988,594916,118651,697168,4624010,2596479,1740490,287041
2014:Q2,Top1,24259357,24873050,3126399,751170,9699444,1631957,4233376,5430704,613693,412086,55461,146146
2014:Q2,Next9,30479155,33151466,6378579,987603,6771234,10342895,2890846,5780309,2672311,2063580,245489,363242
2014:Q2,Next40,23876709,29453766,8908768,1961581,2485458,10230685,1206359,4660915,5577057,4353732,1097380,125945
2014:Q2,Bottom50,735991,5350304,2649575,1109008,162022,604674,120846,704179,4614313,2547962,1765680,300671
2014:Q3,Top1,24474132,25110359,3190913,763440,9521142,1645471,4436794,5552598,636227,419761,58627,157839
2014:Q3,Next9,30821497,33441835,6516276,978900,6650572,10401074,2928197,5966816,2620337,2068715,251709,299913
2014:Q3,Next40,23823337,29455342,9085648,1983368,2437237,10204969,1228965,4515155,5632006,4382014,1131163,118829
2014:Q3,Bottom50,763778,5345863,2654257,1114136,157576,600209,121084,698601,4582085,2510602,1801476,270007
2014:Q4,Top1,25044195,25691338,3250073,779158,9904329,1665775,4616005,5475997,647143,427369,59539,160235
2014:Q4,Next9,31272010,33884542,6618773,966544,6870112,10566678,2981444,5880991,2612532,2068620,258659,285253
2014:Q4,Next40,24370388,30069424,9223446,1996691,2486060,10262935,1245961,4854331,5699037,4413327,1164813,120897
2014:Q4,Bottom50,771721,5341695,2619352,1116933,161068,607445,123075,713822,4569974,2477941,1826529,265504
2015:Q1,Top1,25752166,26415947,3313920,790979,10242163,1706536,4747940,5614408,663781,433381,67054,163346
2015:Q1,Next9,32054930,34639704,6738182,957115,7063155,10699096,3083331,6098825,2584774,2050132,258314,276328
2015:Q1,Next40,24553653,30271970,9390794,2016986,2528560,10309404,1238882,4787345,5718318,4432480,1161469,124369
2015:Q1,Bottom50,822028,5341772,2605298,1120974,163955,605811,126956,718778,4519744,2435468,1820271,264005
2015:Q2,Top1,26064040,26737274,3383072,805033,10296476,1731926,4913310,5607457,673234,441824,68567,162843
2015:Q2,Next9,32344492,34943132,6891443,952568,7084128,10774305,3076657,6164031,2598640,2046733,265550,286357
2015:Q2,Next40,24562864,30369686,9583968,2052450,2521653,10300737,1260852,4650026,5806822,4479152,1196234,131436
2015:Q2,Bottom50,818141,5357029,2616559,1134911,162927,600063,125641,716927,4538887,2420142,1847411,271334
2015:Q3,Top1,25586110,26285349,3429291,798181,9426278,1748980,5052879,5829740,699239,450534,72283,176422
2015:Q3,Next9,32040924,34593665,7003529,959470,6541914,10648149,3058240,6382362,2552741,2048170,272249,232322
2015:Q3,Next40,24387826,30275647,9783049,2080973,2352628,10134395,1281052,4643550,5887821,4526223,1231883,129715
2015:Q3,Bottom50,844768,5383275,2687314,1135719,149059,572929,124594,713660,4538507,2404330,1886714,247463
2015:Q4,Top1,25988752,26705223,3483285,803286,9839190,1780775,5185716,5612971,716470,460183,78647,177640
2015:Q4,Next9,32285631,34854321,7091348,965053,6780991,10842236,3020535,6154158,2568690,2065339,268854,234497
2015:Q4,Next40,25124768,31051730,9965766,2098260,2407956,10220235,1301707,5057806,5926962,4577092,1207658,142212
2015:Q4,Bottom50,955464,5443906,2700671,1140435,153152,587600,122498,739549,4488441,2390233,1845064,253144
2016:Q1,Top1,26508341,27246611,3541153,817034,10027117,1821865,5249693,5789750,738270,467080,85571,185619
2016:Q1,Next9,32757788,35290850,7198522,959488,6882750,10964485,2874473,6411131,2533062,2048125,269400,215537
2016:Q1,Next40,25248484,31212778,10114951,2128762,2423466,10253425,1351757,4940418,5964294,4608076,1209724,146494
2016:Q1,Bottom50,987436,5438397,2680028,1151865,154135,587007,121999,743362,4450961,2359800,1847546,243615
2016:Q2,Top1,27069459,27821224,3637813,839007,10332263,1858333,5333311,5820497,751765,476097,87742,187926
2016:Q2,Next9,33338888,35880211,7399183,945443,7058208,11114611,2844759,6518007,2541322,2043644,275967,221711
2016:Q2,Next40,25394709,31449296,10352772,2159281,2462615,10307820,1394124,4772684,6054587,4662896,1240774,150917
2016:Q2,Bottom50,973520,5441012,2663159,1165652,156781,589034,127866,738520,4467492,2352454,1872338,242700
2016:Q3,Top1,27528200,28293282,3672483,829299,10666985,1895843,5412850,5815822,765082,485990,91493,187599
2016:Q3,Next9,34001007,36572089,7520419,963813,7252090,11316891,2962144,6556732,2571082,2053020,282551,235511
2016:Q3,Next40,25837406,31992241,10570012,2173991,2507238,10401044,1408073,4931883,6154835,4722066,1275538,157231
2016:Q3,Bottom50,1095099,5599751,2794035,1164185,159856,595500,139807,746367,4504652,2347718,1912053,244881
2016:Q4,Top1,27424377,28192526,3744801,818806,10790093,1856103,5394903,5587820,768149,488805,86996,192348
2016:Q4,Next9,34077192,36654998,7618036,985877,7344873,11402328,3006129,6297754,2577806,2083593,284989,209224
2016:Q4,Next40,26438930,32649649,10795604,2185205,2523283,10449720,1428645,5267192,6210719,4746030,1306095,158594
2016:Q4,Bottom50,1129873,5668477,2816600,1172619,158353,609441,147509,763955,4538604,2340393,1958356,239855
